AI_ID,Genome,Sources,Total_Wins,Total_Losses,Total_Draws,Points
196,"[35, 24, 7, 0, 3, 39, 45, 10]",ga_gen_500.csv:gen66,526,271,29,540.5
197,"[31, 8, 19, 16, 25, 32, 19, 23]",ga_gen_500.csv:gen68,402,411,13,408.5
198,"[13, 26, 0, 44, 40, 25, 18, 36]",ga_gen_500.csv:gen70,534,280,12,540.0
199,"[26, 11, 29, 35, 34, 34, 22, 21]",ga_gen_500.csv:gen72,440,372,14,447.0
200,"[11, 24, 17, 21, 23, 19, 19, 16]",ga_gen_500.csv:gen74,324,485,17,332.5
201,"[10, 32, 4, 37, 16, 21, 17, 37]",ga_gen_500.csv:gen76,359,442,25,371.5
202,"[29, 25, 36, 15, 25, 16, 30, 23]",ga_gen_500.csv:gen78,466,355,5,468.5
203,"[14, 18, 37, 3, 15, 9, 18, 8]",ga_gen_500.csv:gen80,386,437,3,387.5
204,"[23, 27, 10, 4, 17, 42, 36, 7]",ga_gen_500.csv:gen82,278,533,15,285.5
205,"[30, 47, 30, 35, 33, 29, 27, 27]",ga_gen_500.csv:gen84,326,489,11,331.5
206,"[29, 0, 10, 41, 34, 17, 13, 39]",ga_gen_500.csv:gen86,500,305,21,510.5
207,"[27, 13, 17, 19, 12, 12, 28, 38]",ga_gen_500.csv:gen88,342,471,13,348.5
208,"[11, 5, 12, 9, 16, 26, 41, 5]",ga_gen_500.csv:gen90,388,409,29,402.5
209,"[14, 1, 38, 47, 27, 36, 21, 40]",ga_gen_500.csv:gen92,408,407,11,413.5
210,"[35, 16, 41, 36, 36, 27, 45, 31]",ga_gen_500.csv:gen94,532,285,9,536.5
211,"[44, 19, 14, 33, 22, 40, 43, 23]",ga_gen_500.csv:gen96,398,389,39,417.5
212,"[44, 19, 14, 33, 22, 40, 43, 23]",ga_gen_500.csv:gen98,398,389,39,417.5
213,"[18, 20, 27, 31, 29, 28, 28, 39]",ga_gen_500.csv:gen100,409,413,4,411.0
214,"[26, 44, 35, 24, 39, 43, 15, 27]",ga_gen_500.csv:gen102,480,338,8,484.0
